account_key,account_id,account_name,account_type,industry,country,status
363,ACC-000363,"Hernandez, Martinez and Weber",Enterprise,Automotive,Mexico,Inactive
364,ACC-000364,"Kelley, Nguyen and Vang",Small Business,Automotive,United States,Active
365,ACC-000365,"Phillips, Wagner and Jordan",Enterprise,Retail,Sweden,Active
366,ACC-000366,"Wilson, Pena and Rich",Mid-Market,Manufacturing,United States,Active
367,ACC-000367,"Le, Lewis and Hayes",Mid-Market,Automotive,Canada,Inactive
368,ACC-000368,Gutierrez Group,Enterprise,Retail,United States,Active
369,ACC-000369,Perry-Davis,Enterprise,Technology,United States,Active
370,ACC-000370,Edwards-Scott,Small Business,Healthcare,United States,Active
371,ACC-000371,Mcdaniel Group,Mid-Market,Technology,United States,Active
372,ACC-000372,Davis Inc,Mid-Market,Automotive,Mexico,Active
373,ACC-000373,Reynolds Ltd,Mid-Market,Retail,United States,Inactive
374,ACC-000374,"Watson, Anderson and Brown",Mid-Market,Retail,Canada,Inactive
375,ACC-000375,"Hoffman, Santiago and Jenkins",Small Business,Technology,Sweden,Inactive
376,ACC-000376,"Pugh, Henderson and Moon",Enterprise,Technology,Mexico,Active
377,ACC-000377,Schmitt PLC,Small Business,Technology,Mexico,Active
378,ACC-000378,Bell-Lane,Small Business,Healthcare,United States,Active
379,ACC-000379,Moore Group,Mid-Market,Retail,Mexico,Active
380,ACC-000380,Boone LLC,Enterprise,Retail,Sweden,Active
381,ACC-000381,"Richardson, Farmer and Andrews",Enterprise,Technology,United States,Active
382,ACC-000382,Bruce-Villegas,Small Business,Automotive,Germany,Active
383,ACC-000383,"Austin, Day and Johnson",Small Business,Automotive,Mexico,Active
384,ACC-000384,"Gallegos, Adams and White",Enterprise,Technology,Canada,Active
385,ACC-000385,"Farmer, Dorsey and Bell",Enterprise,Automotive,United States,Active
386,ACC-000386,Kane PLC,Enterprise,Automotive,Mexico,Active
387,ACC-000387,"Morales, Thomas and Schultz",Enterprise,Retail,Mexico,Active
388,ACC-000388,Davis PLC,Small Business,Automotive,Mexico,Active
389,ACC-000389,Bennett Group,Small Business,Technology,Mexico,Active
390,ACC-000390,Moore-Collins,Enterprise,Technology,Mexico,Active
391,ACC-000391,Frank-Bradley,Small Business,Automotive,Germany,Active
392,ACC-000392,Ware and Sons,Enterprise,Retail,United States,Active
393,ACC-000393,Webster Inc,Mid-Market,Technology,Sweden,Active
394,ACC-000394,"Miller, Ramos and Coleman",Mid-Market,Healthcare,Canada,Active
395,ACC-000395,"Ramos, Nelson and Fischer",Small Business,Automotive,Germany,Active
396,ACC-000396,Reed Inc,Small Business,Retail,Sweden,Active
397,ACC-000397,Gregory-Watkins,Enterprise,Healthcare,Mexico,Active
398,ACC-000398,"Estrada, Williams and Foster",Enterprise,Healthcare,Canada,Active
399,ACC-000399,"Brown, Harris and Dougherty",Enterprise,Manufacturing,Canada,Active
400,ACC-000400,Duran LLC,Enterprise,Automotive,Sweden,Active
401,ACC-000401,Wilson-Jimenez,Small Business,Technology,United States,Active
402,ACC-000402,Thompson-James,Small Business,Automotive,Germany,Active
403,ACC-000403,"Hall, Hansen and Barnett",Enterprise,Automotive,Sweden,Active
404,ACC-000404,Jones-Hensley,Small Business,Automotive,Germany,Active
405,ACC-000405,Graham Group,Mid-Market,Manufacturing,Canada,Active
406,ACC-000406,Atkins PLC,Mid-Market,Manufacturing,Mexico,Active
407,ACC-000407,Berry-Mckinney,Mid-Market,Automotive,Canada,Active
408,ACC-000408,Roberts-Sullivan,Enterprise,Technology,Sweden,Active
409,ACC-000409,Jackson-Meza,Small Business,Manufacturing,Germany,Active
410,ACC-000410,Collier-Gillespie,Enterprise,Automotive,United States,Active
411,ACC-000411,Kim Inc,Enterprise,Manufacturing,Germany,Active
412,ACC-000412,Graham Group,Enterprise,Retail,United States,Active
413,ACC-000413,"Miller, Harrell and Reese",Enterprise,Automotive,Mexico,Inactive
414,ACC-000414,Cook and Sons,Enterprise,Healthcare,Sweden,Active
415,ACC-000415,Dixon Inc,Enterprise,Retail,Canada,Active
416,ACC-000416,"Hicks, Bullock and Bailey",Small Business,Healthcare,Germany,Active
417,ACC-000417,"Mullen, Brewer and Hernandez",Small Business,Healthcare,Sweden,Active
418,ACC-000418,Thomas and Sons,Enterprise,Retail,Canada,Active
419,ACC-000419,Morrison Ltd,Enterprise,Technology,Canada,Active
420,ACC-000420,Thompson Ltd,Mid-Market,Retail,Germany,Inactive
421,ACC-000421,Marshall-Elliott,Small Business,Technology,Canada,Active
422,ACC-000422,"Cole, Glass and Cunningham",Small Business,Technology,Sweden,Active
423,ACC-000423,"Downs, Morris and Maddox",Small Business,Retail,United States,Active
424,ACC-000424,Hernandez-Jones,Mid-Market,Healthcare,Mexico,Active
425,ACC-000425,Welch-Hogan,Mid-Market,Automotive,Canada,Active
426,ACC-000426,"Brown, Romero and Collins",Enterprise,Technology,Germany,Active
427,ACC-000427,Johnson-Wood,Small Business,Healthcare,United States,Active
428,ACC-000428,Jones-Lin,Small Business,Technology,Canada,Active
429,ACC-000429,Gilbert PLC,Enterprise,Automotive,Sweden,Active
430,ACC-000430,Ford-Spencer,Small Business,Healthcare,Canada,Active
431,ACC-000431,"Huang, Cole and Pacheco",Enterprise,Retail,United States,Active
432,ACC-000432,"Lopez, Jacobs and Mason",Small Business,Manufacturing,Germany,Active
433,ACC-000433,Hayes LLC,Small Business,Manufacturing,United States,Active
434,ACC-000434,"Miller, Lucas and Williams",Enterprise,Retail,Canada,Active
435,ACC-000435,"Kim, Gonzales and Mills",Mid-Market,Automotive,Germany,Active
436,ACC-000436,Cox LLC,Enterprise,Manufacturing,Germany,Active
437,ACC-000437,Ortiz-Morgan,Mid-Market,Retail,Sweden,Active
438,ACC-000438,"Williams, Mccoy and Cook",Small Business,Healthcare,Sweden,Active
439,ACC-000439,Davis-Gregory,Enterprise,Automotive,Mexico,Active
440,ACC-000440,King-York,Mid-Market,Technology,United States,Active
441,ACC-000441,"Marks, Cook and Aguilar",Small Business,Healthcare,Canada,Active
442,ACC-000442,Rangel LLC,Enterprise,Retail,United States,Active
443,ACC-000443," Hale, Myers and Larson ",Enterprise,Technology,United States,Active
444,ACC-000444,Collins Group,Mid-Market,Retail,Canada,Active
445,ACC-000445,"Conner, Li and Santiago",Mid-Market,Manufacturing,Germany,Active
446,ACC-000446,"Osborn, Gaines and Davis",Mid-Market,Manufacturing,Mexico,Inactive
447,ACC-000447,"Henderson, Cox and Cox",Enterprise,Technology,Sweden,Active
448,ACC-000448,Bean LLC,Small Business,Technology,Sweden,Inactive
449,ACC-000449,Lee-Cooke,Mid-Market,Healthcare,Sweden,Active
450,ACC-000450,Jones Inc,Enterprise,Manufacturing,United States,Inactive
451,ACC-000451,"Wise, Conley and Stephenson",Small Business,Automotive,Mexico,Inactive
452,ACC-000452,Stanley PLC,Small Business,Manufacturing,Mexico,Active
453,ACC-000453,Harper and Sons,Mid-Market,Manufacturing,United States,Active
454,ACC-000454,White Ltd,Enterprise,Automotive,Germany,Inactive
455,ACC-000455,"Lamb, Martin and Kim",Mid-Market,Retail,Mexico,Inactive
456,ACC-000456,Diaz-Ball,Mid-Market,Manufacturing,Germany,Inactive
457,ACC-000457,Bishop-Goodwin,Enterprise,Technology,Mexico,Active
458,ACC-000458,Young-Allen,Mid-Market,Retail,Mexico,Active
459,ACC-000459,Mckee-Lee,Small Business,Automotive,Germany,Active
460,ACC-000460,"Valentine, Joyce and Murray",Enterprise,Retail,United States,Active
461,ACC-000461,Strickland-Shaw,Small Business,Healthcare,Canada,Active
462,ACC-000462,Burch-Montoya,Enterprise,Automotive,Canada,Active
463,ACC-000463,"Taylor, Wright and Davidson",Small Business,Manufacturing,Germany,Active
464,ACC-000464,Spencer-Garcia,Mid-Market,Manufacturing,Germany,Active
465,ACC-000465,"Rosales, Mitchell and Hines",Enterprise,Technology,Germany,Active
466,ACC-000466,Cole-Palmer,Small Business,Manufacturing,United States,Active
467,ACC-000467,Davis-Lozano,Enterprise,Healthcare,Canada,Active
468,ACC-000468,Wilkerson-Arias,Mid-Market,Automotive,Sweden,Active
469,ACC-000469,Brown-Shaw,Enterprise,Healthcare,United States,Active
470,ACC-000470,Hughes Inc,Small Business,Manufacturing,Canada,Active
471,ACC-000471,Walker-Flores,Small Business,Technology,Mexico,Active
472,ACC-000472,Combs Ltd,Small Business,Healthcare,United States,Inactive
473,ACC-000473,Moody-Taylor,Mid-Market,Retail,Germany,Active
474,ACC-000474,Lowery-Kennedy,Mid-Market,Automotive,Canada,Active
475,ACC-000475,Blake Group,Mid-Market,Technology,United States,Active
476,ACC-000476,Gilbert-Bullock,Small Business,Automotive,Germany,Active
477,ACC-000477,Scott and Sons,Small Business,Retail,Germany,Active
478,ACC-000478,"Bentley, Lynch and Henderson",Enterprise,Automotive,United States,Inactive
479,ACC-000479,Young-Martinez,Mid-Market,Automotive,United States,Active
480,ACC-000480,Barnes PLC,Enterprise,Retail,United States,Active
481,ACC-000481,Brown-Copeland,Enterprise,Manufacturing,Sweden,Active
482,ACC-000482,Carlson-Smith,Small Business,Manufacturing,Mexico,Active
483,ACC-000483,"Andrews, Higgins and Carter",Enterprise,Automotive,United States,Active
484,ACC-000484,Mendez and Sons,Small Business,Manufacturing,Canada,Active
485,ACC-000485,"Butler, Beck and Miller",Mid-Market,,Canada,Active
486,ACC-000486,Jones-Fox,Enterprise,Technology,Canada,Inactive
487,ACC-000487,"Hartman, Romero and Smith",Mid-Market,Manufacturing,Canada,Active
488,ACC-000488,Williams-Hughes,Mid-Market,Manufacturing,United States,Active
489,ACC-000489,King-Smith,Small Business,Manufacturing,Germany,Inactive
490,ACC-000490,Cooper Ltd,Mid-Market,Retail,Canada,Active
491,ACC-000491,"Fuller, Ingram and Moss",Small Business,Automotive,Canada,Active
492,ACC-000492,Anderson-Bell,Small Business,Retail,Canada,Active
493,ACC-000493,Li-Thompson,Small Business,Manufacturing,Mexico,Active
494,ACC-000494,"Marshall, Dominguez and Welch",Mid-Market,Automotive,Sweden,Active
495,ACC-000495,Brown Group,Enterprise,Retail,Germany,Active
496,ACC-000496,Carter Inc,Mid-Market,Retail,Canada,Active
497,ACC-000497,Blackwell LLC,Enterprise,Retail,Mexico,Active
498,ACC-000498,Robertson-Hays,Mid-Market,Healthcare,Mexico,Active
499,ACC-000499,"Kennedy, Johnson and Lucas",Small Business,Retail,United States,Active
500,ACC-000500,Kelly-Norman,Mid-Market,Technology,Mexico,Active
501,ACC-000501,"Rivera, Martinez and Richardson",Enterprise,Retail,Sweden,Active
502,ACC-000502,Paul-Kline,Mid-Market,Automotive,United States,Active
503,ACC-000503,Morgan-Lopez,Small Business,Automotive,Sweden,Inactive
504,ACC-000504,"Jimenez, Glass and Stone",Small Business,Automotive,United States,Active
505,ACC-000505,Acosta Inc,Enterprise,Retail,United States,Active
506,ACC-000506,Morrison-Short,Mid-Market,Automotive,United States,Active
507,ACC-000507,"Carter, Garcia and Murphy",Mid-Market,Technology,Germany,Active
508,ACC-000508,Parker-Morrison,Enterprise,Retail,Sweden,Active
509,ACC-000509,Jackson-Wallace,Enterprise,Technology,Germany,Active
510,ACC-000510,Williams-Berg,Enterprise,Healthcare,United States,Active
511,ACC-000511,Mendez-Graham,Small Business,Automotive,United States,Active
512,ACC-000512,"Whitney, Gould and Jones",Small Business,Automotive,Mexico,Active
513,ACC-000513,"Sullivan, Palmer and Brady",Small Business,Healthcare,Mexico,Active
514,ACC-000514,Cisneros and Sons,Small Business,Automotive,Sweden,Active
515,ACC-000515,"Gregory, Kim and Martinez",Small Business,Automotive,United States,Active
516,ACC-000516,Osborne LLC,Enterprise,Technology,Mexico,Active
517,ACC-000517,Reyes-Bradley,Small Business,Retail,Sweden,Active
518,ACC-000518,"Hernandez, Cole and Watson",Enterprise,Manufacturing,Germany,Active
519,ACC-000519,Hines-Berry,Mid-Market,Retail,United States,Active
520,ACC-000520,"Richardson, Edwards and Ramirez",Mid-Market,Retail,Mexico,Active
521,ACC-000521,Johnson and Sons,Mid-Market,Technology,Germany,Active
522,ACC-000522,Holmes-Mcintyre,Enterprise,Healthcare,United States,Active
523,ACC-000523,Green LLC,Enterprise,Manufacturing,Canada,Active
524,ACC-000524,"Griffin, Davies and Mitchell",Small Business,Manufacturing,Germany,Active
525,ACC-000525,Gonzalez-Taylor,Enterprise,Healthcare,United States,Active
526,ACC-000526,Hayes Ltd,Enterprise,Manufacturing,Canada,Active
527,ACC-000527,Osborn-Cochran,Small Business,Automotive,Germany,Active
528,ACC-000528,Contreras-Mckinney,Enterprise,Manufacturing,Mexico,Active
529,ACC-000529,"Daniels, Vance and York",Small Business,Manufacturing,United States,Active
530,ACC-000530,"Mckinney, Graves and Thompson",Small Business,Technology,Germany,Active
531,ACC-000531,Hicks-Martinez,Mid-Market,Manufacturing,Mexico,Active
532,ACC-000532,Conner and Sons,Enterprise,Manufacturing,Mexico,Active
533,ACC-000533,Johnson-Spencer,Enterprise,Technology,Mexico,Active
534,ACC-000534,Mcdonald-Bird,Enterprise,Manufacturing,United States,Active
535,ACC-000535,Salazar Inc,Mid-Market,Technology,Mexico,Active
536,ACC-000536,Parker Ltd,Enterprise,Manufacturing,Mexico,Active
537,ACC-000537,"Mendoza, Jenkins and Ortiz",Mid-Market,Manufacturing,Canada,Inactive
538,ACC-000538,"Jones, Compton and Day",Enterprise,Manufacturing,Germany,Active
539,ACC-000539,Owens-Holmes,Mid-Market,Healthcare,Germany,Active
540,ACC-000540,Humphrey PLC,Enterprise,Healthcare,Germany,Active
541,ACC-000541,"Matthews, Saunders and Anderson",Small Business,Retail,Canada,Active
542,ACC-000542,"Bartlett, Brown and Martinez",Enterprise,Automotive,Mexico,Active
543,ACC-000543,Torres and Sons,Enterprise,Manufacturing,Mexico,Active
544,ACC-000544,Donovan-Perez,Enterprise,Retail,Canada,Inactive
545,ACC-000545,"Jacobson, Singleton and King",Small Business,Automotive,Mexico,Inactive
546,ACC-000546,"Huber, Hill and Weber",Enterprise,Retail,Canada,Active
547,ACC-000547,"Ferguson, Shaw and Jackson",Mid-Market,Healthcare,Sweden,Active
548,ACC-000548,"Moore, Hopkins and Le",Mid-Market,Technology,Germany,Active
549,ACC-000549,"Morgan, Bradshaw and Williams",Mid-Market,Retail,Germany,Active
550,ACC-000550,Miller Ltd,Small Business,Manufacturing,United States,Active
551,ACC-000551,"Baker, Clark and Armstrong",Small Business,Automotive,Sweden,Inactive
552,ACC-000552,"Fowler, Jimenez and Burton",Mid-Market,Technology,Canada,Active
553,ACC-000553,May-Turner,Small Business,Retail,Canada,Active
554,ACC-000554,Ballard Ltd,Enterprise,Healthcare,United States,Active
555,ACC-000555,Evans-Jones,Small Business,Retail,Mexico,Active
556,ACC-000556,Moore Group,Mid-Market,Manufacturing,United States,Active
557,ACC-000557,Marshall-Peterson,Small Business,Technology,Sweden,Inactive
558,ACC-000558,Edwards Ltd,Small Business,Healthcare,Mexico,Active
559,ACC-000559,Gross-Valencia,Small Business,Technology,United States,Active
560,ACC-000560,Anderson-Wood,Small Business,Technology,Germany,Active
561,ACC-000561,"Rodriguez, Allen and Martinez",Mid-Market,Automotive,Germany,Inactive
562,ACC-000562,Wright-Davis,Enterprise,Automotive,Canada,Active
563,ACC-000563,Dougherty-Lin,Mid-Market,Automotive,Sweden,Active
564,ACC-000564,Wright-Grimes,Enterprise,Technology,Germany,Active
565,ACC-000565,Li PLC,Small Business,Retail,Germany,Active
566,ACC-000566,"Edwards, Hines and Jimenez",Enterprise,Retail,Germany,Inactive
567,ACC-000567,"Owens, Koch and Jimenez",Enterprise,Technology,Mexico,Active
568,ACC-000568,Landry PLC,Enterprise,Healthcare,Sweden,Inactive
569,ACC-000569,Levy-Lewis,Mid-Market,Technology,Canada,Active
570,ACC-000570,Williams-Campbell,Mid-Market,Technology,Mexico,Active
571,ACC-000571,"Khan, Pena and Ruiz",Small Business,Manufacturing,Mexico,Active
572,ACC-000572,"Smith, Rodriguez and Anderson",Mid-Market,Automotive,Mexico,Active
573,ACC-000573,Luna-Gallagher,Enterprise,Healthcare,Sweden,Active
574,ACC-000574,Williams-Williams,Enterprise,Technology,Canada,Active
575,ACC-000575," Lee, Tran and Jones ",Enterprise,Manufacturing,Sweden,Active
576,ACC-000576,"Cole, Pierce and Bryan",Mid-Market,Automotive,Canada,Active
577,ACC-000577,"Becker, Wilson and Hester",Small Business,Retail,Canada,Inactive
578,ACC-000578,Brooks-Hatfield,Mid-Market,Healthcare,Germany,Active
579,ACC-000579,"Mcmillan, Fischer and Gonzalez",Small Business,Manufacturing,Mexico,Active
580,ACC-000580," Morales, Williams and Williams ",Enterprise,Healthcare,Germany,Active
581,ACC-000581,"Cook, Wells and Bryant",Enterprise,Automotive,Canada,Active
582,ACC-000582,"Barry, Taylor and Velazquez",Small Business,Automotive,Germany,Active
583,ACC-000583,Martin-Ewing,Enterprise,Retail,Canada,Active
584,ACC-000584,"Kirby, Wheeler and Romero",Enterprise,Retail,Sweden,Active
585,ACC-000585,"Patel, Erickson and Evans",Mid-Market,Healthcare,Canada,Active
586,ACC-000586,Richardson Ltd,Small Business,Automotive,Germany,Active
587,ACC-000587,Whitney PLC,Small Business,Technology,Canada,Active
588,ACC-000588,Robles-Swanson,Enterprise,,Canada,Active
589,ACC-000589,"Soto, Carlson and Baker",Small Business,Technology,Mexico,Active
590,ACC-000590,"Patton, Parsons and Lane",Small Business,Manufacturing,Canada,Active
591,ACC-000591,"Williams, Castillo and Warren",Small Business,Healthcare,United States,Active
592,ACC-000592,"Harvey, Randall and Hernandez",Small Business,Automotive,Canada,Active
593,ACC-000593,"Allen, Armstrong and Graves",Enterprise,,Germany,Active
594,ACC-000594,Smith LLC,Small Business,Manufacturing,United States,Active
595,ACC-000595,Hernandez-Vaughn,Enterprise,Healthcare,Canada,Inactive
596,ACC-000596,Shaw-Carr,Small Business,Manufacturing,United States,Active
597,ACC-000597,Salas-Fitzgerald,Mid-Market,Healthcare,Germany,Active
598,ACC-000598,Thornton PLC,Small Business,Healthcare,Sweden,Active
599,ACC-000599,Hoffman Ltd,Mid-Market,Technology,Mexico,Active
600,ACC-000600,Fox-Edwards,Mid-Market,Healthcare,Canada,Active
601,ACC-000601,Stevens PLC,Mid-Market,Automotive,Mexico,Active
602,ACC-000602,Payne-Lowe,Small Business,Healthcare,Canada,Active
603,ACC-000603,"Becker, Lara and Baker",Small Business,Technology,Sweden,Active
604,ACC-000604,Lee-Wright,Enterprise,Automotive,Germany,Inactive
605,ACC-000605,"Evans, David and Hendrix",Small Business,Manufacturing,Sweden,Active
606,ACC-000606,Bush-Vaughn,Mid-Market,Technology,Sweden,Active
607,ACC-000607,Stewart-Bailey,Enterprise,Manufacturing,Germany,Active
608,ACC-000608,"Hill, Martinez and Rhodes",Mid-Market,Retail,Canada,Inactive
609,ACC-000609,Huang-Foster,Small Business,Automotive,Germany,Active
610,ACC-000610,Blevins-Ballard,Small Business,Manufacturing,Mexico,Active
611,ACC-000611,Williams-Moses,Small Business,Healthcare,Mexico,Active
612,ACC-000612,Reed Group,Mid-Market,Manufacturing,Mexico,Active
613,ACC-000613,"Scott, Mendoza and Harris",Small Business,Healthcare,United States,Active
614,ACC-000614,"Nelson, Hoffman and Nelson",Mid-Market,Healthcare,Germany,Active
615,ACC-000615,Gilbert PLC,Small Business,Manufacturing,United States,Active
616,ACC-000616,Sanchez Ltd,Mid-Market,Manufacturing,Sweden,Inactive
617,ACC-000617,"Perez, Hall and Garcia",Enterprise,Healthcare,Mexico,Active
618,ACC-000618,Love-Garcia,Enterprise,Retail,United States,Active
619,ACC-000619,Smith PLC,Enterprise,Manufacturing,Sweden,Active
620,ACC-000620,Russell Group,Enterprise,Technology,Mexico,Active
621,ACC-000621,Santos-Avila,Mid-Market,Automotive,Mexico,Active
622,ACC-000622,Morris-Brewer,Mid-Market,Manufacturing,Canada,Active
623,ACC-000623,Pearson and Sons,Enterprise,Technology,United States,Active
624,ACC-000624,"Rodgers, Jefferson and Johnson",Mid-Market,Manufacturing,Mexico,Active
625,ACC-000625,Butler and Sons,Mid-Market,Retail,Mexico,Active
626,ACC-000626,Osborn Group,Enterprise,Technology,Germany,Active
627,ACC-000627,Lopez-Curry,Mid-Market,Retail,Mexico,Active
628,ACC-000628,Mcdowell-Smith,Mid-Market,Retail,United States,Active
629,ACC-000629,"Morrison, Hebert and Rogers",Mid-Market,Automotive,Sweden,Active
630,ACC-000630,Hays-Daniels,Mid-Market,Manufacturing,United States,Active
631,ACC-000631,Small-Anderson,Small Business,Retail,Mexico,Active
632,ACC-000632,"Mcdonald, Lee and Rodriguez",Enterprise,Technology,Sweden,Active
633,ACC-000633,Simon Ltd,Mid-Market,Manufacturing,Mexico,Inactive
634,ACC-000634,Higgins-Smith,Mid-Market,Technology,Germany,Inactive
635,ACC-000635,Gibbs-Bradley,Enterprise,Retail,United States,Active
636,ACC-000636,Thompson Ltd,Small Business,Retail,United States,Active
637,ACC-000637,Wilcox-Robertson,Enterprise,Manufacturing,Canada,Active
638,ACC-000638,Morales Inc,Enterprise,Healthcare,Sweden,Active
639,ACC-000639,Holden Group,Small Business,Manufacturing,United States,Active
640,ACC-000640,Boyle-Smith,Small Business,Automotive,Mexico,Active
641,ACC-000641,Young-Molina,Small Business,Healthcare,Canada,Active
642,ACC-000642, Turner-Sharp ,Small Business,Manufacturing,Germany,Active
643,ACC-000643,Green LLC,Small Business,Retail,Canada,Active
644,ACC-000644,"Young, Contreras and Marshall",Mid-Market,Retail,Germany,Active
645,ACC-000645, Sullivan PLC ,Small Business,Manufacturing,Germany,Active
646,ACC-000646,"Carrillo, Vaughn and Fowler",Enterprise,Automotive,United States,Inactive
647,ACC-000647,Richardson-Walker,Mid-Market,Automotive,Germany,Active
648,ACC-000648,Mendoza Group,Mid-Market,Healthcare,Sweden,Inactive
649,ACC-000649,"Zhang, Brooks and Miles",Small Business,Technology,Mexico,Active
650,ACC-000650,Todd-Pham,Small Business,Technology,Canada,Active
651,ACC-000651,Gill Ltd,Mid-Market,Manufacturing,Mexico,Active
652,ACC-000652,"Marks, Miller and Griffin",Mid-Market,Manufacturing,Mexico,Active
653,ACC-000653,"Cox, Stark and Rodriguez",Enterprise,Manufacturing,Mexico,Active
654,ACC-000654,"Leach, Harris and Herrera",Small Business,Retail,Canada,Active
655,ACC-000655,Murphy PLC,Mid-Market,Manufacturing,Mexico,Active
656,ACC-000656,Wilson-Harris,Mid-Market,Automotive,Germany,Active
657,ACC-000657,"Burns, Nolan and Griffin",Small Business,Technology,United States,Active
658,ACC-000658,Chavez PLC,Mid-Market,Technology,Canada,Active
659,ACC-000659,Bryant-Brown,Enterprise,Technology,Sweden,Active
660,ACC-000660,Chambers-Parker,Enterprise,Automotive,United States,Active
661,ACC-000661,Foster Inc,Enterprise,Healthcare,Germany,Active
662,ACC-000662,"Robinson, Jones and Henderson",Small Business,Healthcare,Sweden,Active
663,ACC-000663,"Brown, Mcknight and Michael",Enterprise,Manufacturing,United States,Active
664,ACC-000664,Andersen Group,Enterprise,Retail,Germany,Active
665,ACC-000665,Mitchell and Sons,Mid-Market,Retail,Canada,Active
666,ACC-000666,Cannon Ltd,Small Business,Automotive,Germany,Active
667,ACC-000667,"Stuart, Brooks and Vance",Mid-Market,Healthcare,Canada,Active
668,ACC-000668,Kane-Knox,Small Business,Healthcare,Mexico,Active
669,ACC-000669,Miller-Brandt,Small Business,Retail,United States,Active
670,ACC-000670,"Anderson, Dalton and Wilson",Enterprise,Healthcare,Mexico,Active
671,ACC-000671,"Long, Anderson and Irwin",Small Business,Healthcare,Sweden,Active
672,ACC-000672,Avila LLC,Mid-Market,Retail,Mexico,Active
673,ACC-000673,Nunez-Stephens,Mid-Market,Automotive,Mexico,Active
674,ACC-000674,"Gray, Hall and Murray",Enterprise,Healthcare,United States,Active
675,ACC-000675,Hill Ltd,Mid-Market,Healthcare,Mexico,Active
676,ACC-000676,Johnson Ltd,Small Business,Technology,Germany,Active
677,ACC-000677,Mendez-Mayer,Mid-Market,Manufacturing,Mexico,Active
678,ACC-000678,Allen Inc,Enterprise,Retail,Mexico,Active
679,ACC-000679,Wheeler Group,Mid-Market,Technology,Germany,Active
680,ACC-000680,"Powers, Brennan and Sanchez",Small Business,Retail,Canada,Inactive
681,ACC-000681,Morales and Sons,Small Business,Technology,United States,Active
682,ACC-000682,"Robinson, Shields and Brown",Enterprise,Manufacturing,United States,Inactive
683,ACC-000683,"Holder, Young and Hendricks",Small Business,Manufacturing,Canada,Active
684,ACC-000684,"Flores, Harper and Chambers",Small Business,Healthcare,Mexico,Active
685,ACC-000685,Young-Walter,Enterprise,Automotive,Germany,Active
686,ACC-000686,"Boyd, Gutierrez and Hill",Small Business,Retail,Germany,Active
687,ACC-000687,"Fry, Hobbs and Buck",Mid-Market,Retail,Canada,Active
688,ACC-000688,"Shelton, Peters and Williams",Mid-Market,Retail,Germany,Active
689,ACC-000689,David-Powers,Mid-Market,Technology,Sweden,Active
690,ACC-000690,"Flores, Butler and Hernandez",Small Business,Manufacturing,Mexico,Inactive
691,ACC-000691,White-Medina,Small Business,Healthcare,Sweden,Active
692,ACC-000692,Atkinson LLC,Small Business,Technology,Sweden,Active
693,ACC-000693,"Thomas, Ford and Brown",Small Business,Healthcare,Mexico,Active
694,ACC-000694,Faulkner-Grant,Small Business,Automotive,Germany,Active
695,ACC-000695,Price LLC,Enterprise,Manufacturing,Mexico,Active
696,ACC-000696,Rivera Inc,Enterprise,Healthcare,Canada,Active
697,ACC-000697,Boone-Davis,Small Business,Retail,United States,Active
698,ACC-000698,"Calderon, Williams and Bennett",Mid-Market,Manufacturing,Germany,Active
699,ACC-000699,"Morrison, Russo and Lopez",Enterprise,Automotive,United States,Active
700,ACC-000700,"Ramsey, Hansen and Mendoza",Enterprise,Technology,United States,Active
701,ACC-000701,Turner-Stout,Mid-Market,Automotive,Mexico,Active
702,ACC-000702,Giles Ltd,Mid-Market,Manufacturing,Sweden,Inactive
703,ACC-000703,Burgess Group,Enterprise,Healthcare,Canada,Active
704,ACC-000704,Dominguez Ltd,Enterprise,Manufacturing,Mexico,Active
705,ACC-000705,Sanders and Sons,Enterprise,Technology,United States,Active
706,ACC-000706,"Morris, Campbell and Owens",Mid-Market,Technology,Canada,Active
707,ACC-000707,"Howard, Green and Hunt",Enterprise,Technology,Sweden,Active
708,ACC-000708,Owens-Lang,Mid-Market,Technology,Canada,Active
709,ACC-000709,"Harrison, Franco and Rocha",Mid-Market,Automotive,Sweden,Active
710,ACC-000710,Edwards-Williams,Mid-Market,Automotive,Mexico,Active
711,ACC-000711,Figueroa Inc,Small Business,Automotive,United States,Inactive
712,ACC-000712,Tran-Silva,Mid-Market,Retail,United States,Active
713,ACC-000713," Butler, Hernandez and Rivera ",Small Business,Technology,Mexico,Active
714,ACC-000714,Hudson-Sanchez,Small Business,Healthcare,Germany,Active
715,ACC-000715,"Pena, Cohen and Scott",Small Business,Healthcare,Germany,Inactive
716,ACC-000716,Levy-May,Small Business,Technology,Germany,Active
717,ACC-000717,Murray-Oconnor,Mid-Market,Healthcare,Germany,Active
718,ACC-000718,Jackson-Cortez,Mid-Market,Automotive,Sweden,Inactive
719,ACC-000719,White-Preston,Enterprise,Retail,Germany,Inactive
720,ACC-000720,"Bernard, Warren and Combs",Mid-Market,Retail,United States,Active
721,ACC-000721,Landry Ltd,Enterprise,Manufacturing,Sweden,Active
722,ACC-000722,Duran Group,Small Business,Healthcare,Sweden,Active
723,ACC-000723,Kirby and Sons,Small Business,Healthcare,United States,Active
724,ACC-000724,Mann Inc,Enterprise,Healthcare,Canada,Active
725,ACC-000725,Wagner LLC,Small Business,Retail,Sweden,Active
726,ACC-000726,Williamson Ltd,Enterprise,Healthcare,Sweden,Active
