machine_id,location_id,machine_name,machine_type,installation_date,status
MCH-000347,LOC-0080,Furnace 00347,,2021-07-11,Active
MCH-000348,LOC-0011,Assembly Line 00348,Assembly Line,2025-10-20,Active
MCH-000349,LOC-0064,Assembly Line 00349,Assembly Line,2024-10-16,Active
MCH-000350,LOC-0084,Assembly Line 00350,Assembly Line,2022-03-25,Active
MCH-000351,LOC-0032,Packaging Machine 00351,Packaging Machine,2025-10-19,Active
MCH-000352,LOC-0049,Cutting Machine 00352,Cutting Machine,2019-09-06,Active
MCH-000353,LOC-0065,Conveyor 00353,Conveyor,2019-11-15,Active
MCH-000354,LOC-0062,Packaging Machine 00354,Packaging Machine,2024-09-22,Active
MCH-000355,LOC-0098,Packaging Machine 00355,Packaging Machine,2019-07-14,Active
MCH-000356,LOC-0085,Robotic Cell 00356,Robotic Cell,2024-02-20,Active
MCH-000357,LOC-0017,Conveyor 00357,Conveyor,2020-08-26,Active
MCH-000358,LOC-0056,Assembly Line 00358,Assembly Line,2021-11-19,Active
MCH-000359,LOC-0046,Packaging Machine 00359,Packaging Machine,2023-10-12,unknown
MCH-000360,LOC-0013,Cutting Machine 00360,Cutting Machine,2025-12-29,Active
MCH-000361,LOC-0019,Cutting Machine 00361,Cutting Machine,2019-04-29,Active
MCH-000362,LOC-0072,Press 00362,Press,2025-07-09,Active
MCH-000363,LOC-0075,Conveyor 00363,Conveyor,2019-01-21,Active
MCH-000364,LOC-0069,Packaging Machine 00364,Packaging Machine,2023-05-19,Active
MCH-000365,LOC-0066,Press 00365,Press,2025-10-24,Active
MCH-000366,LOC-0099,CNC Machine 00366,,2025-09-24,Active
MCH-000367,LOC-0060,Conveyor 00367,Conveyor,2022-01-08,Active
MCH-000368,LOC-0051,Furnace 00368,Furnace,2023-05-23,Active
MCH-000369,LOC-0084,Robotic Cell 00369,Robotic Cell,2020-03-11,Maintenance
MCH-000370,LOC-0028,Press 00370,Press,2025-10-07,Active
MCH-000371,LOC-0059,Cutting Machine 00371,Cutting Machine,2020-03-09,unknown
MCH-000372,LOC-0040,Cutting Machine 00372,Cutting Machine,2025-08-31,Active
MCH-000373,LOC-0094,Robotic Cell 00373,Robotic Cell,2020-12-23,Maintenance
MCH-000374,LOC-0067,Packaging Machine 00374,Packaging Machine,2021-03-02,Inactive
MCH-000375,LOC-0035,Conveyor 00375,Conveyor,2020-10-10,Active
MCH-000376,LOC-0068,Packaging Machine 00376,Packaging Machine,2024-12-07,Active
MCH-000377,LOC-0074,CNC Machine 00377,CNC Machine,2024-08-24,Active
MCH-000378,LOC-0084,CNC Machine 00378,CNC Machine,2021-02-20,Active
MCH-000379,LOC-0032,Assembly Line 00379,,2021-07-15,Active
MCH-000380,LOC-0031,Press 00380,,2022-09-29,Active
MCH-000381,LOC-0076,Cutting Machine 00381,Cutting Machine,2025-01-10,Active
MCH-000382,LOC-0100,Robotic Cell 00382,Robotic Cell,2023-08-12,Active
MCH-000383,LOC-0030,Assembly Line 00383,Assembly Line,2020-10-29,unknown
MCH-000384,LOC-0029,Cutting Machine 00384,Cutting Machine,2024-07-05,Active
MCH-000385,LOC-0023,CNC Machine 00385,CNC Machine,2022-10-04,Active
MCH-000386,LOC-0004,Assembly Line 00386,Assembly Line,2021-05-29,Active
MCH-000387,LOC-0001,Packaging Machine 00387,Packaging Machine,2022-12-12,Active
MCH-000388,LOC-0053,Robotic Cell 00388,Robotic Cell,2022-02-05,Active
MCH-000389,LOC-0082,Assembly Line 00389,Assembly Line,2024-04-30,Active
MCH-000390,LOC-0007,Furnace 00390,Furnace,2021-11-17,Active
MCH-000391,LOC-0023,Cutting Machine 00391,Cutting Machine,2024-02-14,Active
MCH-000392,LOC-0049,Robotic Cell 00392,,2022-08-22,Active
MCH-000393,LOC-0056,Conveyor 00393,Conveyor,2022-10-27,Active
MCH-000394,LOC-0092,CNC Machine 00394,CNC Machine,2019-08-26,Active
MCH-000395,LOC-0093,CNC Machine 00395,CNC Machine,2022-03-02,Active
MCH-000396,LOC-0088,Furnace 00396,Furnace,2023-09-09,Active
MCH-000397,LOC-0024,Assembly Line 00397,Assembly Line,2019-02-17,Active
MCH-000398,LOC-0050,Cutting Machine 00398,Cutting Machine,2020-04-21,Active
MCH-000399,LOC-0091,Press 00399,Press,2021-12-04,Active
MCH-000400,LOC-0092,CNC Machine 00400,CNC Machine,2025-10-04,Active
MCH-000401,LOC-0089,Conveyor 00401,Conveyor,2024-10-09,Inactive
MCH-000402,LOC-0070,Robotic Cell 00402,Robotic Cell,2025-12-09,Active
MCH-000403,LOC-0041,Assembly Line 00403,Assembly Line,2022-04-07,Active
MCH-000404,LOC-0011,CNC Machine 00404,CNC Machine,2022-02-15,Active
MCH-000405,LOC-0040,Packaging Machine 00405,Packaging Machine,2025-09-15,Active
MCH-000406,LOC-0027,CNC Machine 00406,CNC Machine,2024-07-07,Inactive
MCH-000407,LOC-0033,Furnace 00407,Furnace,2023-04-11,Active
MCH-000408,LOC-0042,Furnace 00408,Furnace,2019-10-15,Active
MCH-000409,LOC-0065,Furnace 00409,Furnace,2023-04-25,Active
MCH-000410,LOC-0009,Assembly Line 00410,Assembly Line,2022-11-13,Maintenance
MCH-000411,LOC-0097,Furnace 00411,Furnace,2021-11-07,unknown
MCH-000412,LOC-0055,Robotic Cell 00412,Robotic Cell,2020-01-09,Maintenance
MCH-000413,LOC-0046,Cutting Machine 00413,Cutting Machine,2023-09-07,Active
MCH-000414,LOC-0029,CNC Machine 00414,CNC Machine,2019-01-12,Active
MCH-000415,LOC-0039,Robotic Cell 00415,Robotic Cell,2023-06-04,Active
MCH-000416,LOC-0057,Furnace 00416,Furnace,2025-11-25,Inactive
MCH-000417,LOC-0053,Cutting Machine 00417,Cutting Machine,2025-04-26,Active
MCH-000418,LOC-0008,Assembly Line 00418,Assembly Line,2022-03-28,Active
MCH-000419,LOC-0012,Furnace 00419,Furnace,2025-05-05,Maintenance
MCH-000420,LOC-0072,Press 00420,Press,2023-07-01,Active
MCH-000421,LOC-0051,Cutting Machine 00421,Cutting Machine,2023-03-16,Active
MCH-000422,LOC-0035,Cutting Machine 00422,Cutting Machine,2024-06-27,Active
MCH-000423,LOC-0062,Robotic Cell 00423,Robotic Cell,2020-09-11,Active
MCH-000424,LOC-0077,Robotic Cell 00424,Robotic Cell,2019-10-23,unknown
MCH-000425,LOC-0028,CNC Machine 00425,CNC Machine,2019-03-27,Inactive
MCH-000426,LOC-0005,Packaging Machine 00426,Packaging Machine,2020-10-08,Active
MCH-000427,LOC-0045,Packaging Machine 00427,Packaging Machine,2022-12-25,Active
MCH-000428,LOC-0091,Conveyor 00428,Conveyor,2025-12-16,Active
MCH-000429,LOC-0042,Furnace 00429,Furnace,2023-01-18,Active
MCH-000430,LOC-0077,Furnace 00430,Furnace,2024-03-01,Active
MCH-000431,LOC-0040,Conveyor 00431,Conveyor,2022-11-11,Active
MCH-000432,LOC-0051,Assembly Line 00432,Assembly Line,2025-05-02,Active
MCH-000433,LOC-0085,CNC Machine 00433,CNC Machine,2021-12-15,Maintenance
MCH-000434,LOC-0043,Packaging Machine 00434,Packaging Machine,2019-12-16,Active
MCH-000435,LOC-0005,Assembly Line 00435,Assembly Line,2024-12-25,Active
MCH-000436,LOC-0049,Assembly Line 00436,Assembly Line,2022-11-30,Active
MCH-000437,LOC-0003,Conveyor 00437,Conveyor,2022-12-18,Active
MCH-000438,LOC-0019,CNC Machine 00438,CNC Machine,2024-02-28,Active
MCH-000439,LOC-0035,Furnace 00439,Furnace,2025-03-07,Active
MCH-000440,LOC-0079,Cutting Machine 00440,Cutting Machine,2024-11-24,Active
MCH-000441,LOC-0097,Assembly Line 00441,Assembly Line,2025-02-05,Active
MCH-000442,LOC-0032,Furnace 00442,Furnace,2023-03-25,Active
MCH-000443,LOC-0078,Furnace 00443,Furnace,2021-09-16,Active
MCH-000444,LOC-0080,Robotic Cell 00444,Robotic Cell,2022-06-19,Active
MCH-000445,LOC-0031,Conveyor 00445,Conveyor,2023-04-28,Inactive
MCH-000446,LOC-0021,Robotic Cell 00446,Robotic Cell,2019-03-16,Active
MCH-000447,LOC-0015,Furnace 00447,Furnace,2021-05-18,Active
MCH-000448,LOC-0013,Packaging Machine 00448,Packaging Machine,2025-08-04,Active
MCH-000449,LOC-0001,Press 00449,Press,2021-12-07,unknown
MCH-000450,LOC-0009,Assembly Line 00450,Assembly Line,2021-05-12,unknown
MCH-000451,LOC-0095,Cutting Machine 00451,,2023-06-26,Active
MCH-000452,LOC-0083,Press 00452,Press,2022-09-28,Active
MCH-000453,LOC-0039,Robotic Cell 00453,Robotic Cell,2019-03-23,Active
MCH-000454,LOC-0078,Press 00454,Press,2022-10-13,Active
MCH-000455,LOC-0019,Robotic Cell 00455,Robotic Cell,2023-04-26,Active
MCH-000456,LOC-0031,Press 00456,Press,2024-09-26,Active
MCH-000457,LOC-0089,Cutting Machine 00457,Cutting Machine,2025-11-19,Active
MCH-000458,LOC-0013,Conveyor 00458,,2025-05-12,Active
MCH-000459,LOC-0049,Assembly Line 00459,Assembly Line,2022-08-30,Active
MCH-000460,LOC-0065,Assembly Line 00460,Assembly Line,2024-07-28,Active
MCH-000461,LOC-0050,Packaging Machine 00461,Packaging Machine,2025-12-24,Active
MCH-000462,LOC-0098,Conveyor 00462,Conveyor,2024-09-15,Active
MCH-000463,LOC-0026,Cutting Machine 00463,Cutting Machine,2019-12-21,Active
MCH-000464,LOC-0006,Assembly Line 00464,Assembly Line,2021-12-24,Active
MCH-000465,LOC-0024,Assembly Line 00465,Assembly Line,2020-06-26,Active
MCH-000466,LOC-0062,Assembly Line 00466,Assembly Line,2022-03-31,Active
MCH-000467,LOC-0035,Cutting Machine 00467,Cutting Machine,2024-01-29,Active
MCH-000468,LOC-0055,CNC Machine 00468,CNC Machine,2022-01-13,Active
MCH-000469,LOC-0051,Press 00469,Press,2023-07-08,Active
MCH-000470,LOC-0020,Conveyor 00470,Conveyor,2020-08-24,Active
MCH-000471,LOC-0027,Conveyor 00471,Conveyor,2019-09-01,Active
MCH-000472,LOC-0012,CNC Machine 00472,CNC Machine,2023-10-27,Active
MCH-000473,LOC-0061,Furnace 00473,Furnace,2019-09-18,Active
MCH-000474,LOC-0017,Conveyor 00474,Conveyor,2023-10-22,Active
MCH-000475,LOC-0014,Conveyor 00475,Conveyor,2025-02-19,Active
MCH-000476,LOC-0021,Assembly Line 00476,Assembly Line,2019-01-25,Active
MCH-000477,LOC-0091,CNC Machine 00477,CNC Machine,2023-06-17,Active
MCH-000478,LOC-0011,Conveyor 00478,Conveyor,2023-12-19,Active
MCH-000479,LOC-0033,Conveyor 00479,Conveyor,2021-11-05,Active
MCH-000480,LOC-0074,Robotic Cell 00480,Robotic Cell,2025-02-06,Active
MCH-000481,LOC-0004,Packaging Machine 00481,Packaging Machine,2021-09-01,Active
MCH-000482,LOC-0051,Robotic Cell 00482,Robotic Cell,2023-10-11,Active
MCH-000483,LOC-0086,CNC Machine 00483,,2021-07-17,unknown
MCH-000484,LOC-0033,Cutting Machine 00484,Cutting Machine,2022-12-01,Active
MCH-000485,LOC-0046,Press 00485,Press,2020-06-18,Active
MCH-000486,LOC-0098,Conveyor 00486,Conveyor,2022-01-23,Active
MCH-000487,LOC-0064,Conveyor 00487,Conveyor,2025-11-25,Active
MCH-000488,LOC-0020,Packaging Machine 00488,,2019-02-02,Active
MCH-000489,LOC-0012,Assembly Line 00489,Assembly Line,2021-09-12,Active
MCH-000490,LOC-0064,Cutting Machine 00490,Cutting Machine,2025-09-09,Active
MCH-000491,LOC-0075,Packaging Machine 00491,Packaging Machine,2023-06-13,Active
MCH-000492,LOC-0041,CNC Machine 00492,,2023-02-10,Active
MCH-000493,LOC-0023,Furnace 00493,Furnace,2020-01-13,Inactive
MCH-000494,LOC-0081,Press 00494,Press,2022-12-13,Active
MCH-000495,LOC-0094,Robotic Cell 00495,Robotic Cell,17-10-2020,Active
MCH-000496,LOC-0054,Robotic Cell 00496,Robotic Cell,2022-12-10,Active
MCH-000497,LOC-0047,CNC Machine 00497,CNC Machine,2024-12-20,Active
MCH-000498,LOC-0039,Press 00498,Press,2020-04-09,Active
MCH-000499,LOC-0038,Assembly Line 00499,Assembly Line,2019-08-01,Active
MCH-000500,LOC-0069,Cutting Machine 00500,Cutting Machine,2025-07-05,Active
MCH-000501,LOC-0067,Robotic Cell 00501,Robotic Cell,2023-12-20,Active
MCH-000502,LOC-0071,Cutting Machine 00502,Cutting Machine,2020-02-12,Active
MCH-000503,LOC-0065,Cutting Machine 00503,Cutting Machine,2023-02-27,Active
MCH-000504,LOC-0097,Assembly Line 00504,Assembly Line,2019-08-03,Active
MCH-000505,LOC-0064,Assembly Line 00505,Assembly Line,2022-02-11,Active
MCH-000506,LOC-0040,Robotic Cell 00506,Robotic Cell,2025-09-10,Active
MCH-000507,LOC-0050,Robotic Cell 00507,Robotic Cell,2021-12-02,Active
MCH-000508,LOC-0061,Conveyor 00508,,2024-09-25,Active
MCH-000509,LOC-0047,CNC Machine 00509,CNC Machine,2024-03-16,Active
MCH-000510,LOC-0007,Press 00510,Press,2021-10-28,Active
MCH-000511,LOC-0015,Furnace 00511,Furnace,2023-03-02,Active
MCH-000512,LOC-0095,Packaging Machine 00512,Packaging Machine,2019-05-27,Active
MCH-000513,LOC-0013,Packaging Machine 00513,Packaging Machine,2023-07-11,Inactive
MCH-000514,LOC-0083,Robotic Cell 00514,Robotic Cell,2022-06-29,Active
MCH-000515,LOC-0073,Cutting Machine 00515,Cutting Machine,2024-07-09,Active
MCH-000516,LOC-0027,Robotic Cell 00516,Robotic Cell,2024-04-11,Active
MCH-000517,LOC-0050,Robotic Cell 00517,Robotic Cell,2020-07-04,Active
MCH-000518,LOC-0079,Conveyor 00518,Conveyor,2024-09-14,Maintenance
MCH-000519,LOC-0036,CNC Machine 00519,CNC Machine,2020-01-12,Active
MCH-000520,LOC-0092,Robotic Cell 00520,,2023-02-01,Active
MCH-000521,LOC-0015,Press 00521,Press,2024-09-06,Active
MCH-000522,LOC-0080,Packaging Machine 00522,Packaging Machine,2023-01-27,Active
MCH-000523,LOC-0059,Press 00523,,2022-08-14,Active
MCH-000524,LOC-0078,Assembly Line 00524,Assembly Line,2021-12-20,Active
MCH-000525,LOC-0035,Conveyor 00525,Conveyor,2022-09-24,Active
MCH-000526,LOC-0040,Cutting Machine 00526,Cutting Machine,2021-11-01,Active
MCH-000527,LOC-0012,Conveyor 00527,Conveyor,2020-03-03,Active
MCH-000528,LOC-0015,CNC Machine 00528,CNC Machine,2020-01-27,Active
MCH-000529,LOC-0054,Assembly Line 00529,Assembly Line,03/05/2019,Active
MCH-000530,LOC-0093,Cutting Machine 00530,Cutting Machine,2019-11-06,Active
MCH-000531,LOC-0018,Packaging Machine 00531,Packaging Machine,2024-05-01,Active
MCH-000532,LOC-0052,Packaging Machine 00532,Packaging Machine,2024-06-28,Active
MCH-000533,LOC-0015,Assembly Line 00533,Assembly Line,27-01-2022,Active
MCH-000534,LOC-0012,Press 00534,Press,2023-06-14,Active
MCH-000535,LOC-0028,Robotic Cell 00535,Robotic Cell,2024-05-06,Active
MCH-000536,LOC-0010,Conveyor 00536,Conveyor,2024-10-13,Inactive
MCH-000537,LOC-0080,Cutting Machine 00537,Cutting Machine,2023-03-15,Active
MCH-000538,LOC-0084,Conveyor 00538,Conveyor,2022-08-16,Active
MCH-000539,LOC-0024,Conveyor 00539,Conveyor,2022-03-01,unknown
MCH-000540,LOC-0076,CNC Machine 00540,CNC Machine,2025-04-11,Active
MCH-000541,LOC-0075,Assembly Line 00541,Assembly Line,2021-03-29,Active
MCH-000542,LOC-0058,Press 00542,Press,2023-02-01,unknown
MCH-000543,LOC-0076,Assembly Line 00543,Assembly Line,2023-08-10,Inactive
MCH-000544,LOC-0031,Robotic Cell 00544,,2025-05-17,Active
MCH-000545,LOC-0093,Cutting Machine 00545,Cutting Machine,2021-03-06,Active
MCH-000546,LOC-0096,Press 00546,press,2025-12-27,Active
MCH-000547,LOC-0033,Robotic Cell 00547,,2021-05-12,Active
MCH-000548,LOC-0007,CNC Machine 00548,CNC Machine,2019-12-22,Active
MCH-000549,LOC-0045,Packaging Machine 00549,Packaging Machine,2020-11-08,Active
MCH-000550,LOC-0021,Furnace 00550,Furnace,2024-01-06,Active
MCH-000551,LOC-0051,CNC Machine 00551,CNC Machine,2022-11-11,Active
MCH-000552,LOC-0087,Cutting Machine 00552,Cutting Machine,2025-06-09,Active
MCH-000553,LOC-0100,Furnace 00553,Furnace,2024-01-19,Inactive
MCH-000554,LOC-0088,Robotic Cell 00554,Robotic Cell,2023-09-30,Inactive
MCH-000555,LOC-0052,Robotic Cell 00555,Robotic Cell,2023-07-04,Active
MCH-000556,LOC-0055,Assembly Line 00556,Assembly Line,2022-07-30,unknown
MCH-000557,LOC-INVALID-00010,Conveyor 00557,Conveyor,2019-11-03,Active
MCH-000558,LOC-0014,Packaging Machine 00558,Packaging Machine,2021-02-24,Active
MCH-000559,LOC-0081,CNC Machine 00559,CNC Machine,2022-05-07,Active
MCH-000560,LOC-0037,Assembly Line 00560,Assembly Line,2019-07-18,Maintenance
MCH-000561,LOC-0075,CNC Machine 00561,CNC Machine,2025-06-13,unknown
MCH-000562,LOC-0033,CNC Machine 00562,CNC Machine,2021-04-27,Active
MCH-000563,LOC-0024,Assembly Line 00563,Assembly Line,2024-09-01,Active
MCH-000564,LOC-0091,Packaging Machine 00564,Packaging Machine,2022-08-05,Active
MCH-000565,LOC-0071,Packaging Machine 00565,Packaging Machine,2021-09-08,Active
MCH-000566,LOC-0002,Furnace 00566,Furnace,2023-05-03,Active
MCH-000567,LOC-0093,CNC Machine 00567,CNC Machine,2024-09-24,Active
MCH-000568,LOC-0092,Packaging Machine 00568,Packaging Machine,2021-07-12,Active
MCH-000569,LOC-0031,Packaging Machine 00569,,2019-05-11,Active
MCH-000570,LOC-0073,Cutting Machine 00570,Cutting Machine,2023-10-01,Maintenance
MCH-000571,LOC-0043,Press 00571,Press,2025-07-09,Inactive
MCH-000572,LOC-0010,Furnace 00572,Furnace,2021-07-31,Active
MCH-000573,LOC-0080,Assembly Line 00573,Assembly Line,2019-06-07,Active
MCH-000574,LOC-0058,Packaging Machine 00574,Packaging Machine,2023-03-09,Inactive
MCH-000575,LOC-0050,Robotic Cell 00575,Robotic Cell,2020-08-10,Active
MCH-000576,LOC-0063,Furnace 00576,Furnace,2025-09-22,Active
MCH-000577,LOC-0053,Assembly Line 00577,Assembly Line,2023-03-16,Active
MCH-000578,LOC-0043,Furnace 00578,Furnace,2023-07-31,Maintenance
MCH-000579,LOC-0004,Robotic Cell 00579,Robotic Cell,2025-09-10,Active
MCH-000580,LOC-0095,Robotic Cell 00580,Robotic Cell,2023-02-04,Maintenance
MCH-000581,LOC-0064,Furnace 00581,Furnace,2023-09-23,Maintenance
MCH-000582,LOC-0025,Assembly Line 00582,Assembly Line,2022-04-06,Active
MCH-000583,LOC-0098,Packaging Machine 00583,,2025-04-19,Active
MCH-000584,LOC-0010,Press 00584,Press,2025-09-16,Inactive
MCH-000585,LOC-0012,Press 00585,Press,2021-12-24,Active
MCH-000586,LOC-0084,Robotic Cell 00586,Robotic Cell,2019-11-09,Active
MCH-000587,LOC-0098,Conveyor 00587,Conveyor,2020-10-25,Active
MCH-000588,LOC-0092,Packaging Machine 00588,Packaging Machine,2023-10-26,Active
MCH-000589,LOC-0021,Assembly Line 00589,Assembly Line,2023-08-23,Maintenance
MCH-000590,LOC-0026,Press 00590,Press,2021-01-03,Active
MCH-000591,LOC-0032,Furnace 00591,Furnace,2021-03-09,Active
MCH-000592,LOC-0021,Furnace 00592,Furnace,2024-02-02,Active
MCH-000593,LOC-0099,Press 00593,Press,2025-02-25,Active
MCH-000594,LOC-0056,Furnace 00594,Furnace,2020-01-22,Active
MCH-000595,LOC-0030,Press 00595,Press,2023-05-17,Active
MCH-000596,LOC-0071,Furnace 00596,Furnace,2024-06-08,Active
MCH-000597,LOC-0026,CNC Machine 00597,CNC Machine,2020-08-18,unknown
MCH-000598,LOC-0051,Press 00598,Press,2023-11-24,Maintenance
MCH-000599,LOC-0053,Conveyor 00599,Conveyor,2020-01-03,Inactive
MCH-000600,LOC-0050,Packaging Machine 00600,Packaging Machine,2021-12-15,Active
MCH-000601,LOC-0015,Press 00601,Press,2025-06-27,Maintenance
MCH-000602,LOC-0059,Furnace 00602,Furnace,2023-09-06,Maintenance
MCH-000603,LOC-0054,Press 00603,Press,2024-10-03,Active
MCH-000604,LOC-0018,Assembly Line 00604,Assembly Line,2023-09-06,Active
MCH-000605,LOC-0024,Assembly Line 00605,Assembly Line,2023-06-06,Active
MCH-000606,LOC-0052,Cutting Machine 00606,Cutting Machine,2019-08-03,Active
MCH-000607,LOC-0100,CNC Machine 00607,CNC Machine,2019-12-24,Active
MCH-000608,LOC-0096,Conveyor 00608,Conveyor,2024-02-14,Active
MCH-000609,LOC-0025,Furnace 00609,Furnace,2023-03-03,Active
MCH-000610,LOC-0029,Robotic Cell 00610,Robotic Cell,2019-12-26,Active
MCH-000611,LOC-0070,Conveyor 00611,Conveyor,2025-03-05,Active
MCH-000612,LOC-0067,Press 00612,Press,2023-01-02,Active
MCH-000613,LOC-0007,Press 00613,Press,2021-11-20,Active
MCH-000614,LOC-0038,Assembly Line 00614,Assembly Line,2020-12-07,Active
MCH-000615,LOC-0047,Robotic Cell 00615,Robotic Cell,2024-08-29,Active
MCH-000616,LOC-0057,Furnace 00616,Furnace,2019-03-15,unknown
MCH-000617,LOC-0002,Conveyor 00617,,2019-09-09,Active
MCH-000618,LOC-0057,Conveyor 00618,Conveyor,2025-08-12,Active
MCH-000619,LOC-0079,Robotic Cell 00619,Robotic Cell,2021-02-09,Active
MCH-000620,LOC-0051,Furnace 00620,Furnace,2025-12-10,Active
MCH-000621,LOC-0018,Robotic Cell 00621,Robotic Cell,2022-08-18,Active
MCH-000622,LOC-0002,Assembly Line 00622,Assembly Line,2024-02-01,Active
MCH-000623,LOC-0032,Cutting Machine 00623,Cutting Machine,2020-09-19,Active
MCH-000624,LOC-0015,Robotic Cell 00624,Robotic Cell,2022-10-28,Active
MCH-000625,LOC-0010,Packaging Machine 00625,Packaging Machine,2024-11-27,Active
MCH-000626,LOC-0014,Press 00626,,2020-09-11,Active
MCH-000627,LOC-0027,Robotic Cell 00627,Robotic Cell,2020-08-05,Active
MCH-000628,LOC-0048,Assembly Line 00628,Assembly Line,2019-12-04,Active
MCH-000629,LOC-0050,Assembly Line 00629,Assembly Line,2021-03-07,Active
MCH-000630,LOC-INVALID-00004,Furnace 00630,Furnace,2022-02-22,Active
MCH-000631,LOC-0004,CNC Machine 00631,CNC Machine,2024-11-29,Active
MCH-000632,LOC-0014,Cutting Machine 00632,Cutting Machine,2024-08-13,Active
MCH-000633,LOC-0065,Press 00633,Press,2025-04-14,Active
MCH-000634,LOC-0056,CNC Machine 00634,CNC Machine,2020-05-21,Maintenance
MCH-000635,LOC-0059,Assembly Line 00635,Assembly Line,2024-01-29,Active
MCH-000636,LOC-0034,Press 00636,Press,2019-10-19,Active
MCH-000637,LOC-0034,Robotic Cell 00637,Robotic Cell,2025-11-01,Inactive
MCH-000638,LOC-0094,Assembly Line 00638,Assembly Line,2023-07-03,Active
MCH-000639,LOC-0075,Press 00639,Press,2023-10-29,Active
MCH-000640,LOC-0089,Furnace 00640,Furnace,2020-10-26,Active
MCH-000641,LOC-0015,Conveyor 00641,Conveyor,2024-12-21,Active
MCH-000642,LOC-0072,Robotic Cell 00642,Robotic Cell,2021-08-22,Active
MCH-000643,LOC-0037, Robotic Cell 00643 ,Robotic Cell,2020-03-11,Active
MCH-000644,LOC-0095,CNC Machine 00644,CNC Machine,2020-04-10,Active
MCH-000645,LOC-0096,Packaging Machine 00645,Packaging Machine,2019-12-07,Active
MCH-000646,LOC-0027,CNC Machine 00646,CNC Machine,2023-05-03,Inactive
MCH-000647,LOC-0086,Robotic Cell 00647,Robotic Cell,2024-05-07,Active
MCH-000648,LOC-0079,CNC Machine 00648,CNC Machine,2021-06-11,Active
MCH-000649,LOC-0039,Packaging Machine 00649,Packaging Machine,2025-02-06,Active
MCH-000650,LOC-0088,Packaging Machine 00650,Packaging Machine,2025-07-16,Active
MCH-000651,LOC-0025,Assembly Line 00651,Assembly Line,2023-11-17,Active
MCH-000652,LOC-0029,Conveyor 00652,Conveyor,2025-08-04,Active
MCH-000653,LOC-0080,Conveyor 00653,Conveyor,2020-06-17,Active
MCH-000654,LOC-0095,Assembly Line 00654,Assembly Line,2025-09-29,Active
MCH-000655,LOC-0044,Cutting Machine 00655,,2019-09-01,Active
MCH-000656,LOC-0064,Robotic Cell 00656,robotic cell,2022-06-29,Active
MCH-000657,LOC-0079,Conveyor 00657,Conveyor,2022-03-06,Active
MCH-000658,LOC-0072,Cutting Machine 00658,Cutting Machine,2025-02-06,Active
MCH-000659,LOC-0019,Robotic Cell 00659,Robotic Cell,2019-08-26,Active
MCH-000660,LOC-0043,Packaging Machine 00660,,2022-07-19,Active
MCH-000661,LOC-0066,Cutting Machine 00661,Cutting Machine,2024-04-13,Maintenance
MCH-000662,LOC-0073,Packaging Machine 00662,Packaging Machine,2021-03-28,Active
MCH-000663,LOC-0056,Conveyor 00663,Conveyor,2019-11-26,Active
MCH-000664,LOC-0030,Cutting Machine 00664,Cutting Machine,2020-09-28,Active
MCH-000665,LOC-0053,Conveyor 00665,Conveyor,2022-01-13,Active
MCH-000666,LOC-0030,CNC Machine 00666,CNC Machine,2021-07-27,Active
MCH-000667,LOC-0049,Packaging Machine 00667,Packaging Machine,2023-03-23,Active
MCH-000668,LOC-0080,Assembly Line 00668,Assembly Line,2024-06-06,Active
MCH-000669,LOC-0078,CNC Machine 00669,CNC Machine,2023-08-28,Active
MCH-000670,LOC-0089,CNC Machine 00670,CNC Machine,2022-10-16,Active
MCH-000671,LOC-0034,Robotic Cell 00671,Robotic Cell,2022-04-06,unknown
MCH-000672,LOC-0042,Packaging Machine 00672,,2020-09-12,Inactive
MCH-000673,LOC-0070,Cutting Machine 00673,Cutting Machine,06/28/2025,Active
MCH-000674,LOC-0080,CNC Machine 00674,CNC Machine,2025-04-24,Active
MCH-000675,LOC-0095,Conveyor 00675,Conveyor,2021-11-30,Active
MCH-000676,LOC-0045,Press 00676,Press,2025-05-10,Active
MCH-000677,LOC-0078,Packaging Machine 00677,Packaging Machine,2022-07-15,Active
MCH-000678,LOC-0032,CNC Machine 00678,CNC Machine,2023-01-29,unknown
MCH-000679,LOC-0083,Furnace 00679,Furnace,2019-01-27,Inactive
MCH-000680,LOC-0042,Packaging Machine 00680,Packaging Machine,2025-08-15,Active
MCH-000681,LOC-0036,Robotic Cell 00681,Robotic Cell,2024-04-13,Maintenance
MCH-000682,LOC-0090,Assembly Line 00682,Assembly Line,2025-08-16,Active
MCH-000683,LOC-0097,Furnace 00683,Furnace,2025-08-09,Maintenance
MCH-000684,LOC-0061,Packaging Machine 00684,Packaging Machine,2022-07-08,Active
MCH-000685,LOC-0085,CNC Machine 00685,CNC Machine,2024-01-31,Active
MCH-000686,LOC-0086,Press 00686,Press,2019-01-30,Active
MCH-000687,LOC-0005,CNC Machine 00687,CNC Machine,2020-05-24,Active
MCH-000688,LOC-0065,Packaging Machine 00688,Packaging Machine,2021-05-27,Active
MCH-000689,LOC-0026,Packaging Machine 00689,Packaging Machine,2024-05-31,Active
MCH-000690,LOC-0100,Cutting Machine 00690,Cutting Machine,2020-07-04,Active
MCH-000691,LOC-0086,Conveyor 00691,Conveyor,2019-01-21,Active
MCH-000692,LOC-0001,Packaging Machine 00692,Packaging Machine,2022-06-20,Maintenance
MCH-000693,LOC-0011,Cutting Machine 00693,Cutting Machine,2022-08-08,Active
