emissions_key,emissions_id,date_key,location_key,emissions_category,unit_of_measure,co2_emissions
15343,EMS-015343,20211215,32,Transportation,kg,776.944
15344,EMS-015344,20190205,96,Direct Emissions,kg,1072.903
15345,EMS-015345,20200903,31,Purchased Energy,kg,346.012
15346,EMS-015346,20200217,74,Purchased Energy,kg,360.597
15347,EMS-015347,20220625,59,Direct Emissions,kg,2033.45
15348,EMS-015348,20230623,38,Purchased Energy,kg,1475.631
15349,EMS-015349,20210710,45,Direct Emissions,kg,876.103
15350,EMS-015350,20220323,78,Direct Emissions,kg,2080.754
15351,EMS-015351,20220221,40,Purchased Energy,kg,527.735
15352,EMS-015352,20210304,14,Direct Emissions,kg,393.878
15353,EMS-015353,20211030,99,Purchased Energy,kg,2835.042
15354,EMS-015354,20190905,27,Transportation,kg,2382.787
15355,EMS-015355,20240426,93,Direct Emissions,kg,1024.577
15356,EMS-015356,20211126,3,Purchased Energy,kg,155.527
15357,EMS-015357,20230417,93,Direct Emissions,kg,951.536
15358,EMS-015358,20210808,33,Transportation,kg,1627.642
15359,EMS-015359,20190828,53,Direct Emissions,kg,973.372
15360,EMS-015360,20221128,37,Direct Emissions,kg,915.829
15361,EMS-015361,20210227,47,Purchased Energy,kg,376.685
15362,EMS-015362,20251207,71,Direct Emissions,kg,1189.17
15363,EMS-015363,20210813,8,Purchased Energy,kg,339.189
15364,EMS-015364,20191230,59,Purchased Energy,kg,147.487
15365,EMS-015365,20210403,43,Direct Emissions,kg,649.517
15366,EMS-015366,20190608,84,Direct Emissions,kg,465.165
15367,EMS-015367,20190815,55,Direct Emissions,kg,251.288
15368,EMS-015368,20210213,19,Direct Emissions,kg,673.595
15369,EMS-015369,20241220,39,Direct Emissions,kg,1275.38
15370,EMS-015370,20240404,50,Direct Emissions,kg,1283.884
15371,EMS-015371,20240723,65,Purchased Energy,kg,964.661
15372,EMS-015372,20211209,2,Direct Emissions,kg,1314.226
15373,EMS-015373,20230313,50,Purchased Energy,kg,746.382
15374,EMS-015374,20200511,43,Direct Emissions,kg,888.304
15375,EMS-015375,20220831,80,Transportation,kg,1260.022
15376,EMS-015376,20230814,19,Direct Emissions,kg,736.581
15377,EMS-015377,20240812,37,Direct Emissions,kg,693.595
15378,EMS-015378,20250130,38,Purchased Energy,kg,330.809
15379,EMS-015379,20250713,65,Purchased Energy,kg,1344.526
15380,EMS-015380,20191120,62,Direct Emissions,kg,639.214
15381,EMS-015381,20230505,31,Transportation,kg,1596.612
15382,EMS-015382,20240930,98,Purchased Energy,kg,618.101
15383,EMS-015383,20220212,99,Purchased Energy,kg,511.933
15384,EMS-015384,20250531,24,Direct Emissions,kg,439.758
15385,EMS-015385,20210329,84,Purchased Energy,kg,454.448
15386,EMS-015386,20200716,98,Transportation,kg,1779.385
15387,EMS-015387,20210912,16,Purchased Energy,kg,533.179
15388,EMS-015388,20230205,75,Direct Emissions,kg,2377.944
15389,EMS-015389,20190814,33,Purchased Energy,kg,333.656
15390,EMS-015390,20200715,29,Purchased Energy,kg,870.397
15391,EMS-015391,20210227,65,Purchased Energy,kg,134.97
15392,EMS-015392,20220401,67,Direct Emissions,kg,1208.476
15393,EMS-015393,20200715,31,Purchased Energy,kg,504.971
15394,EMS-015394,20190512,11,Direct Emissions,kg,990.338
15395,EMS-015395,20191023,47,Direct Emissions,kg,737.919
15396,EMS-015396,20220512,19,Direct Emissions,kg,595.448
15397,EMS-015397,20230105,51,Purchased Energy,kg,466.636
15398,EMS-015398,20230804,92,Direct Emissions,kg,875.856
15399,EMS-015399,20240310,21,Direct Emissions,kg,1443.925
15400,EMS-015400,20210518,30,Transportation,kg,572.262
15401,EMS-015401,20231212,28,Direct Emissions,kg,735.809
15402,EMS-015402,20221203,90,Purchased Energy,kg,200.452
15403,EMS-015403,20201113,77,Purchased Energy,kg,177.816
15404,EMS-015404,20220212,31,Purchased Energy,kg,355.124
15405,EMS-015405,20221104,30,Direct Emissions,kg,1151.506
15406,EMS-015406,20230903,36,Purchased Energy,kg,914.604
15407,EMS-015407,20230326,52,Direct Emissions,kg,3492.352
15408,EMS-015408,20210724,28,Direct Emissions,kg,1147.066
15409,EMS-015409,20210901,25,Direct Emissions,kg,731.527
15410,EMS-015410,20200910,43,Direct Emissions,kg,145.789
15411,EMS-015411,20231215,88,Purchased Energy,kg,306.264
15412,EMS-015412,20250319,10,Direct Emissions,kg,821.082
15413,EMS-015413,20231120,57,Transportation,kg,603.413
15414,EMS-015414,20201004,89,Direct Emissions,kg,523.186
15415,EMS-015415,20250705,49,Direct Emissions,kg,1144.403
15416,EMS-015416,20230925,74,Purchased Energy,kg,419.791
15417,EMS-015417,20250904,29,Direct Emissions,kg,761.846
15418,EMS-015418,20230628,69,Direct Emissions,kg,3572.572
15419,EMS-015419,20250627,80,Purchased Energy,kg,681.525
15420,EMS-015420,20210124,84,Direct Emissions,kg,977.717
15421,EMS-015421,20250731,28,Purchased Energy,kg,498.115
15422,EMS-015422,20230708,88,Transportation,kg,578.651
15423,EMS-015423,20241020,90,Direct Emissions,kg,565.605
15424,EMS-015424,20231219,97,Transportation,kg,2668.845
15425,EMS-015425,20190525,29,Purchased Energy,kg,1134.216
15426,EMS-015426,20230507,51,Purchased Energy,kg,686.458
15427,EMS-015427,20191129,25,Purchased Energy,kg,1456.933
15428,EMS-015428,20231026,21,Direct Emissions,kg,1075.865
15429,EMS-015429,20250520,74,Purchased Energy,kg,406.864
15430,EMS-015430,20230208,29,Direct Emissions,kg,1488.486
15431,EMS-015431,20251004,32,Purchased Energy,kg,1611.4
15432,EMS-015432,20240106,63,Direct Emissions,kg,1913.587
15433,EMS-015433,20200211,11,Purchased Energy,kg,637.827
15434,EMS-015434,20220113,45,Purchased Energy,kg,242.656
15435,EMS-015435,20250205,23,Direct Emissions,kg,1194.589
15436,EMS-015436,20200814,75,Direct Emissions,kg,631.892
15437,EMS-015437,20210923,3,Direct Emissions,kg,1581.264
15438,EMS-015438,20250522,24,Direct Emissions,kg,335.755
15439,EMS-015439,20221105,79,Purchased Energy,kg,599.95
15440,EMS-015440,20200810,41,Purchased Energy,kg,217.985
15441,EMS-015441,20221023,79,Direct Emissions,kg,1494.087
15442,EMS-015442,20240918,59,Direct Emissions,kg,2664.253
15443,EMS-015443,20210410,85,Purchased Energy,kg,214.046
15444,EMS-015444,20200717,55,Transportation,kg,266.486
15445,EMS-015445,20200411,43,Purchased Energy,kg,862.002
15446,EMS-015446,20210312,48,Direct Emissions,kg,219.344
15447,EMS-015447,20220322,46,Direct Emissions,kg,1016.922
15448,EMS-015448,20200117,82,Purchased Energy,kg,85.343
15449,EMS-015449,20211129,69,Purchased Energy,kg,237.972
15450,EMS-015450,20210914,30,Transportation,kg,2044.067
15451,EMS-015451,20220323,75,Transportation,kg,1098.14
15452,EMS-015452,20211204,37,Purchased Energy,kg,215.603
15453,EMS-015453,20221206,79,Purchased Energy,kg,1462.247
15454,EMS-015454,20201025,11,Purchased Energy,kg,1157.196
15455,EMS-015455,20220722,56,Purchased Energy,kg,902.128
15456,EMS-015456,20230419,49,Direct Emissions,kg,412.127
15457,EMS-015457,20240329,64,Transportation,kg,816.199
15458,EMS-015458,20210406,93,Purchased Energy,kg,341.159
15459,EMS-015459,20190309,94,Transportation,kg,1731.783
15460,EMS-015460,20240728,31,Transportation,kg,1231.531
15461,EMS-015461,20210226,62,Direct Emissions,kg,1014.714
15462,EMS-015462,20210520,34,Direct Emissions,kg,1380.935
15463,EMS-015463,20200916,50,Direct Emissions,kg,1758.744
15464,EMS-015464,20230620,64,Transportation,kg,4958.187
15465,EMS-015465,20240206,43,Purchased Energy,kg,507.168
15466,EMS-015466,20251206,22,Purchased Energy,kg,106.424
15467,EMS-015467,20230921,52,Direct Emissions,kg,568.48
15468,EMS-015468,20210623,96,Direct Emissions,kg,471.208
15469,EMS-015469,20190807,36,Purchased Energy,kg,894.79
15470,EMS-015470,20240401,35,Purchased Energy,kg,361.388
15471,EMS-015471,20221124,54,Purchased Energy,kg,272.789
15472,EMS-015472,20250329,81,Purchased Energy,kg,1889.627
15473,EMS-015473,20191010,74,Purchased Energy,kg,612.99
15474,EMS-015474,20220225,13,Purchased Energy,kg,283.762
15475,EMS-015475,20190310,81,Transportation,kg,2520.062
15476,EMS-015476,20231004,62,Purchased Energy,kg,631.64
15477,EMS-015477,20250504,70,Direct Emissions,kg,1299.841
15478,EMS-015478,20201217,18,Direct Emissions,kg,1046.947
15479,EMS-015479,20220413,52,Purchased Energy,kg,460.511
15480,EMS-015480,20210927,86,Direct Emissions,kg,1230.444
15481,EMS-015481,20250519,39,Direct Emissions,kg,703.733
15482,EMS-015482,20200618,42,Direct Emissions,kg,1437.205
15483,EMS-015483,20190505,44,Direct Emissions,kg,324.788
15484,EMS-015484,20211224,33,Purchased Energy,kg,1338.021
15485,EMS-015485,20250213,63,Transportation,kg,3405.293
15486,EMS-015486,20190630,59,Purchased Energy,kg,365.544
15487,EMS-015487,20210518,64,Direct Emissions,kg,1303.108
15488,EMS-015488,20220908,22,Purchased Energy,kg,518.789
15489,EMS-015489,20241002,11,Direct Emissions,kg,802.766
15490,EMS-015490,20230320,32,Purchased Energy,kg,672.565
15491,EMS-015491,20210509,49,Direct Emissions,kg,524.027
15492,EMS-015492,20191213,1,Direct Emissions,kg,1269.073
15493,EMS-015493,20230210,55,Purchased Energy,kg,337.87
15494,EMS-015494,20200125,90,Direct Emissions,kg,235.877
15495,EMS-015495,20230218,67,Direct Emissions,kg,1816.155
15496,EMS-015496,20191004,90,Purchased Energy,kg,485.215
15497,EMS-015497,20210302,97,Purchased Energy,kg,1257.002
15498,EMS-015498,20220208,99,Direct Emissions,kg,145.043
15499,EMS-015499,20230814,84,Purchased Energy,kg,195.52
15500,EMS-015500,20200107,2,Direct Emissions,kg,2841.703
15501,EMS-015501,20191015,29,Purchased Energy,kg,167.352
15502,EMS-015502,20251019,72,Direct Emissions,kg,1077.186
15503,EMS-015503,20250913,60,Direct Emissions,kg,586.646
15504,EMS-015504,20210915,12,Direct Emissions,kg,288.793
15505,EMS-015505,20211118,40,Purchased Energy,kg,701.222
15506,EMS-015506,20210603,67,Direct Emissions,kg,788.234
15507,EMS-015507,20201130,76,Purchased Energy,kg,673.607
15508,EMS-015508,20250922,79,Direct Emissions,kg,1807.565
15509,EMS-015509,20230404,21,Direct Emissions,kg,3061.135
15510,EMS-015510,20210426,97,Direct Emissions,kg,1420.325
15511,EMS-015511,20250923,9,Direct Emissions,kg,2416.054
15512,EMS-015512,20210526,53,Direct Emissions,kg,654.423
15513,EMS-015513,20250308,83,Purchased Energy,kg,690.846
15514,EMS-015514,20200612,14,Transportation,kg,942.979
15515,EMS-015515,20200415,1,Purchased Energy,kg,311.008
15516,EMS-015516,20210418,15,Direct Emissions,kg,1042.123
15517,EMS-015517,20221021,97,Direct Emissions,kg,1830.291
15518,EMS-015518,20190826,48,Direct Emissions,kg,389.725
15519,EMS-015519,20240120,19,Purchased Energy,kg,1430.465
15520,EMS-015520,20190908,5,Direct Emissions,kg,546.352
15521,EMS-015521,20230118,93,Purchased Energy,kg,836.964
15522,EMS-015522,20210114,100,Purchased Energy,kg,261.143
15523,EMS-015523,20231018,46,Transportation,kg,790.63
15524,EMS-015524,20220721,41,Direct Emissions,kg,926.479
15525,EMS-015525,20210321,51,Direct Emissions,kg,1075.088
15526,EMS-015526,20231126,7,Direct Emissions,kg,801.767
15527,EMS-015527,20190103,64,Direct Emissions,kg,269.913
15528,EMS-015528,20200314,41,Purchased Energy,kg,1422.851
15529,EMS-015529,20190730,15,Direct Emissions,kg,830.095
15530,EMS-015530,20250926,91,Purchased Energy,kg,618.44
15531,EMS-015531,20240219,75,Transportation,kg,1389.405
15532,EMS-015532,20250503,49,Direct Emissions,kg,354.264
15533,EMS-015533,20250219,4,Purchased Energy,kg,1406.887
15534,EMS-015534,20210928,23,Direct Emissions,kg,3459.722
15535,EMS-015535,20250127,68,Purchased Energy,kg,719.341
15536,EMS-015536,20230925,7,Purchased Energy,kg,251.446
15537,EMS-015537,20190103,16,Purchased Energy,kg,577.872
15538,EMS-015538,20211225,60,Direct Emissions,kg,297.894
15539,EMS-015539,20220531,8,Purchased Energy,kg,568.811
15540,EMS-015540,20190927,79,Direct Emissions,kg,705.004
15541,EMS-015541,20240908,20,Direct Emissions,kg,518.478
15542,EMS-015542,20191109,69,Direct Emissions,kg,1609.124
15543,EMS-015543,20241010,94,Purchased Energy,kg,605.267
15544,EMS-015544,20230810,25,Purchased Energy,kg,3557.732
15545,EMS-015545,20220405,98,Direct Emissions,kg,611.988
15546,EMS-015546,20240108,96,Purchased Energy,kg,547.758
15547,EMS-015547,20200118,29,Direct Emissions,kg,688.245
15548,EMS-015548,20240607,72,Purchased Energy,kg,372.639
15549,EMS-015549,20220922,10,Purchased Energy,kg,905.933
15550,EMS-015550,20230926,47,Transportation,kg,1147.488
15551,EMS-015551,20190708,53,Purchased Energy,kg,1144.785
15552,EMS-015552,20241215,1,Transportation,kg,2275.356
15553,EMS-015553,20220413,86,Purchased Energy,kg,1238.016
15554,EMS-015554,20190729,82,Direct Emissions,kg,1048.02
15555,EMS-015555,20190824,24,Purchased Energy,kg,291.164
15556,EMS-015556,20210407,76,Purchased Energy,kg,1032.61
15557,EMS-015557,20210116,28,Transportation,kg,646.899
15558,EMS-015558,20230610,88,Purchased Energy,kg,1003.541
15559,EMS-015559,20241018,41,Direct Emissions,kg,631.05
15560,EMS-015560,20200420,8,Direct Emissions,kg,667.898
15561,EMS-015561,20211003,88,Transportation,kg,1001.158
15562,EMS-015562,20210928,14,Direct Emissions,kg,1677.664
15563,EMS-015563,20230205,28,Transportation,kg,2594.238
15564,EMS-015564,20200619,37,Direct Emissions,kg,1236.898
15565,EMS-015565,20241203,63,Direct Emissions,kg,1223.152
15566,EMS-015566,20190925,27,Transportation,kg,2386.676
15567,EMS-015567,20200125,64,Purchased Energy,kg,374.45
15568,EMS-015568,20200210,86,Direct Emissions,kg,682.387
15569,EMS-015569,20250423,35,Direct Emissions,kg,858.8
15570,EMS-015570,20210213,54,Direct Emissions,kg,722.453
15571,EMS-015571,20210417,28,Purchased Energy,kg,162.347
15572,EMS-015572,20240118,78,Purchased Energy,kg,763.357
15573,EMS-015573,20210210,19,Purchased Energy,kg,1133.533
15574,EMS-015574,20220903,8,Transportation,kg,718.635
15575,EMS-015575,20190115,58,Direct Emissions,kg,283.742
15576,EMS-015576,20200424,49,Direct Emissions,kg,301.55
15577,EMS-015577,20220409,85,Purchased Energy,kg,478.769
15578,EMS-015578,20220926,23,Transportation,kg,774.211
15579,EMS-015579,20200225,83,Direct Emissions,kg,235.935
15580,EMS-015580,20190728,22,Transportation,kg,2747.613
15581,EMS-015581,20240704,37,Purchased Energy,kg,276.64
15582,EMS-015582,20250320,39,Direct Emissions,kg,762.435
15583,EMS-015583,20240421,16,Direct Emissions,kg,840.616
15584,EMS-015584,20221226,27,Transportation,kg,2352.352
15585,EMS-015585,20200331,26,Direct Emissions,kg,372.71
15586,EMS-015586,20230107,78,Direct Emissions,kg,763.343
15587,EMS-015587,20250101,35,Direct Emissions,kg,745.474
15588,EMS-015588,20230516,66,Direct Emissions,kg,496.24
15589,EMS-015589,20220207,94,Direct Emissions,kg,1044.558
15590,EMS-015590,20220728,17,Direct Emissions,kg,654.628
15591,EMS-015591,20211226,9,Direct Emissions,kg,1087.47
15592,EMS-015592,20211202,7,Purchased Energy,kg,141.358
15593,EMS-015593,20200326,12,Direct Emissions,kg,1580.494
15594,EMS-015594,20201112,64,Transportation,kg,1028.499
15595,EMS-015595,20210119,50,Purchased Energy,kg,175.965
15596,EMS-015596,20200502,89,Direct Emissions,kg,361.154
15597,EMS-015597,20240412,35,Purchased Energy,kg,572.094
15598,EMS-015598,20230428,59,Transportation,kg,1194.878
15599,EMS-015599,20220802,52,Direct Emissions,kg,326.564
15600,EMS-015600,20190922,92,Direct Emissions,kg,439.762
15601,EMS-015601,20240131,17,Direct Emissions,kg,1501.419
15602,EMS-015602,20230926,51,Purchased Energy,kg,380.8
15603,EMS-015603,20210209,62,Purchased Energy,kg,184.332
15604,EMS-015604,20250726,45,Purchased Energy,kg,207.069
15605,EMS-015605,20250329,66,Purchased Energy,kg,1141.92
15606,EMS-015606,20230311,30,Purchased Energy,kg,1229.163
15607,EMS-015607,20220710,55,Direct Emissions,kg,513.956
15608,EMS-015608,20190921,95,Transportation,kg,1418.7
15609,EMS-015609,20221012,76,Direct Emissions,kg,1027.643
15610,EMS-015610,20240417,19,Purchased Energy,kg,835.586
15611,EMS-015611,20200405,88,Direct Emissions,kg,1100.188
15612,EMS-015612,20240216,18,Transportation,kg,1083.368
15613,EMS-015613,20200606,77,Purchased Energy,kg,327.821
15614,EMS-015614,20200422,72,Direct Emissions,kg,2316.635
15615,EMS-015615,20220822,10,Transportation,kg,873.435
15616,EMS-015616,20211204,53,Purchased Energy,kg,493.816
15617,EMS-015617,20251119,92,Direct Emissions,kg,3311.008
15618,EMS-015618,20190611,61,Purchased Energy,kg,114.946
15619,EMS-015619,20250902,18,Purchased Energy,kg,945.053
15620,EMS-015620,20220924,29,Purchased Energy,kg,922.34
15621,EMS-015621,20210819,57,Direct Emissions,kg,543.169
15622,EMS-015622,20220115,39,Transportation,kg,878.189
15623,EMS-015623,20231121,76,Purchased Energy,kg,825.049
15624,EMS-015624,20191202,81,Transportation,kg,1781.407
15625,EMS-015625,20250507,23,Purchased Energy,kg,485.677
15626,EMS-015626,20201004,76,Purchased Energy,kg,336.74
15627,EMS-015627,20220409,52,Direct Emissions,kg,1337.479
15628,EMS-015628,20211204,32,Purchased Energy,kg,341.383
15629,EMS-015629,20190627,7,Direct Emissions,kg,717.585
15630,EMS-015630,20210524,70,Purchased Energy,kg,447.396
15631,EMS-015631,20200720,14,Purchased Energy,kg,592.116
15632,EMS-015632,20240828,6,Direct Emissions,kg,538.356
15633,EMS-015633,20240824,35,Purchased Energy,kg,1010.881
15634,EMS-015634,20230703,81,Purchased Energy,kg,965.224
15635,EMS-015635,20190322,19,Purchased Energy,kg,606.67
15636,EMS-015636,20200519,55,Purchased Energy,kg,186.986
15637,EMS-015637,20231129,74,Purchased Energy,kg,699.486
15638,EMS-015638,20211020,86,Direct Emissions,kg,1005.835
15639,EMS-015639,20250413,27,Direct Emissions,kg,779.021
15640,EMS-015640,20240416,7,Purchased Energy,kg,186.678
15641,EMS-015641,20201109,14,Purchased Energy,kg,243.744
15642,EMS-015642,20220804,53,Direct Emissions,kg,1291.84
15643,EMS-015643,20210326,41,Transportation,kg,575.217
15644,EMS-015644,20251209,59,Direct Emissions,kg,559.606
15645,EMS-015645,20190731,93,Direct Emissions,kg,378.131
15646,EMS-015646,20240621,18,Transportation,kg,4385.709
15647,EMS-015647,20210328,17,Direct Emissions,kg,419.512
15648,EMS-015648,20251106,30,Purchased Energy,kg,293.427
15649,EMS-015649,20220830,82,Purchased Energy,kg,220.985
15650,EMS-015650,20240706,55,Purchased Energy,kg,339.885
15651,EMS-015651,20230823,40,Purchased Energy,kg,829.014
15652,EMS-015652,20240910,10,Purchased Energy,kg,655.615
15653,EMS-015653,20250126,37,Direct Emissions,kg,936.92
15654,EMS-015654,20200123,44,Direct Emissions,kg,1397.149
15655,EMS-015655,20241205,8,Transportation,kg,1006.939
15656,EMS-015656,20200217,91,Purchased Energy,kg,335.727
15657,EMS-015657,20220122,25,Direct Emissions,kg,535.401
15658,EMS-015658,20210824,82,Purchased Energy,kg,746.233
15659,EMS-015659,20220922,2,Purchased Energy,kg,1278.686
15660,EMS-015660,20250725,14,Direct Emissions,kg,2249.976
15661,EMS-015661,20240619,24,Direct Emissions,kg,2103.8
15662,EMS-015662,20190410,11,Purchased Energy,kg,368.968
15663,EMS-015663,20210101,73,Purchased Energy,kg,188.408
15664,EMS-015664,20200716,99,Direct Emissions,kg,845.108
15665,EMS-015665,20211222,14,Direct Emissions,kg,611.543
15666,EMS-015666,20210502,37,Transportation,kg,4616.203
15667,EMS-015667,20240103,60,Direct Emissions,kg,1431.431
15668,EMS-015668,20220715,93,Purchased Energy,kg,196.028
15669,EMS-015669,20200622,31,Direct Emissions,kg,1525.108
15670,EMS-015670,20200816,72,Direct Emissions,kg,962.296
15671,EMS-015671,20230424,51,Purchased Energy,kg,591.388
15672,EMS-015672,20250525,93,Purchased Energy,kg,331.812
15673,EMS-015673,20250502,80,Transportation,kg,1205.035
15674,EMS-015674,20250620,65,Direct Emissions,kg,1265.652
15675,EMS-015675,20210818,36,Purchased Energy,kg,435.083
15676,EMS-015676,20200228,51,Direct Emissions,kg,1154.976
15677,EMS-015677,20210720,94,Direct Emissions,kg,800.058
15678,EMS-015678,20190205,100,Direct Emissions,kg,227.843
15679,EMS-015679,20190501,79,Direct Emissions,kg,1036.078
15680,EMS-015680,20230320,43,Purchased Energy,kg,411.552
15681,EMS-015681,20241011,1,Purchased Energy,kg,1236.689
15682,EMS-015682,20221204,4,Transportation,kg,1432.472
15683,EMS-015683,20190612,66,Purchased Energy,kg,228.818
15684,EMS-015684,20201016,95,Purchased Energy,kg,647.95
15685,EMS-015685,20190330,37,Transportation,kg,3358.437
15686,EMS-015686,20220707,75,Transportation,kg,1682.539
15687,EMS-015687,20250817,73,Direct Emissions,kg,495.327
15688,EMS-015688,20240220,74,Direct Emissions,kg,203.696
15689,EMS-015689,20250308,8,Direct Emissions,kg,915.094
15690,EMS-015690,20251202,81,Purchased Energy,kg,299.551
15691,EMS-015691,20200226,96,Direct Emissions,kg,1048.417
15692,EMS-015692,20190507,4,Direct Emissions,kg,304.382
15693,EMS-015693,20200730,36,Purchased Energy,kg,782.805
15694,EMS-015694,20200624,27,Transportation,kg,1517.725
15695,EMS-015695,20200429,14,Direct Emissions,kg,973.485
15696,EMS-015696,20230421,72,Transportation,kg,504.562
15697,EMS-015697,20240416,25,Purchased Energy,kg,1272.864
15698,EMS-015698,20221019,58,Direct Emissions,kg,1108.406
15699,EMS-015699,20221225,37,Purchased Energy,kg,493.745
15700,EMS-015700,20201125,27,Direct Emissions,kg,811.578
15701,EMS-015701,20201216,26,Direct Emissions,kg,453.921
15702,EMS-015702,20230712,40,Purchased Energy,kg,244.972
15703,EMS-015703,20241002,27,Direct Emissions,kg,1420.229
15704,EMS-015704,20241118,1,Purchased Energy,kg,856.645
15705,EMS-015705,20220814,13,Direct Emissions,kg,1311.542
15706,EMS-015706,20210603,94,Direct Emissions,kg,487.928
15707,EMS-015707,20240324,4,Transportation,kg,1041.005
15708,EMS-015708,20211025,23,Purchased Energy,kg,538.481
15709,EMS-015709,20211227,57,Purchased Energy,kg,891.068
15710,EMS-015710,20201030,48,Purchased Energy,kg,161.658
15711,EMS-015711,20230312,44,Transportation,kg,403.289
15712,EMS-015712,20241221,3,Purchased Energy,kg,489.015
15713,EMS-015713,20241114,22,Direct Emissions,kg,1098.817
15714,EMS-015714,20250718,59,Purchased Energy,kg,593.563
15715,EMS-015715,20221124,80,Direct Emissions,kg,398.36
15716,EMS-015716,20190629,67,Purchased Energy,kg,347.448
15717,EMS-015717,20210919,11,Purchased Energy,kg,470.139
15718,EMS-015718,20230705,11,Direct Emissions,kg,1854.627
15719,EMS-015719,20210418,11,Purchased Energy,kg,189.546
15720,EMS-015720,20200304,86,Purchased Energy,kg,373.405
15721,EMS-015721,20220724,6,Purchased Energy,kg,667.995
15722,EMS-015722,20200219,11,Purchased Energy,kg,219.948
15723,EMS-015723,20190119,52,Purchased Energy,kg,132.524
15724,EMS-015724,20191013,46,Direct Emissions,kg,1083.962
15725,EMS-015725,20210606,83,Purchased Energy,kg,450.427
15726,EMS-015726,20250411,26,Purchased Energy,kg,1036.101
15727,EMS-015727,20220521,2,Purchased Energy,kg,816.557
15728,EMS-015728,20241113,29,Purchased Energy,kg,885.308
15729,EMS-015729,20201217,100,Direct Emissions,kg,631.923
15730,EMS-015730,20190108,6,Purchased Energy,kg,320.376
15731,EMS-015731,20190116,5,Purchased Energy,kg,1082.498
15732,EMS-015732,20240820,61,Purchased Energy,kg,558.551
15733,EMS-015733,20220315,44,Purchased Energy,kg,1068.77
15734,EMS-015734,20250805,41,Transportation,kg,1510.097
15735,EMS-015735,20230803,19,Direct Emissions,kg,1120.775
15736,EMS-015736,20240914,24,Direct Emissions,kg,299.05
15737,EMS-015737,20250418,53,Direct Emissions,kg,2373.11
15738,EMS-015738,20221005,63,Direct Emissions,kg,252.601
15739,EMS-015739,20191224,60,Purchased Energy,kg,304.338
15740,EMS-015740,20250711,75,Purchased Energy,kg,474.178
15741,EMS-015741,20251002,3,Direct Emissions,kg,3952.211
15742,EMS-015742,20230730,91,Direct Emissions,kg,2203.495
15743,EMS-015743,20190620,20,Purchased Energy,kg,2147.641
15744,EMS-015744,20200209,16,Transportation,kg,512.622
15745,EMS-015745,20200821,17,Purchased Energy,kg,154.444
15746,EMS-015746,20200918,87,Direct Emissions,kg,780.38
15747,EMS-015747,20220216,26,Direct Emissions,kg,300.787
15748,EMS-015748,20220730,49,Purchased Energy,kg,544.738
15749,EMS-015749,20191221,90,Transportation,kg,518.78
15750,EMS-015750,20250618,46,Purchased Energy,kg,3578.879
15751,EMS-015751,20200627,97,Purchased Energy,kg,651.769
15752,EMS-015752,20210207,1,Transportation,kg,2013.649
15753,EMS-015753,20240409,45,Direct Emissions,kg,262.485
15754,EMS-015754,20220430,52,Transportation,kg,1369.917
15755,EMS-015755,20211018,42,Transportation,kg,1027.75
15756,EMS-015756,20191102,94,Direct Emissions,kg,274.104
15757,EMS-015757,20200322,44,Direct Emissions,kg,493.615
15758,EMS-015758,20230206,4,Direct Emissions,kg,1570.783
15759,EMS-015759,20210910,81,Direct Emissions,kg,264.091
15760,EMS-015760,20230605,67,Direct Emissions,kg,1777.079
15761,EMS-015761,20241025,86,Purchased Energy,kg,661.381
15762,EMS-015762,20210628,75,Direct Emissions,kg,803.683
15763,EMS-015763,20230918,68,Direct Emissions,kg,918.993
15764,EMS-015764,20191012,4,Direct Emissions,kg,349.247
15765,EMS-015765,20200427,28,Purchased Energy,kg,275.034
15766,EMS-015766,20230604,56,Purchased Energy,kg,395.546
15767,EMS-015767,20200826,44,Transportation,kg,2023.754
15768,EMS-015768,20200814,16,Purchased Energy,kg,789.814
15769,EMS-015769,20210930,16,Purchased Energy,kg,1816.508
15770,EMS-015770,20240425,92,Transportation,kg,2143.742
15771,EMS-015771,20240711,11,Purchased Energy,kg,780.25
15772,EMS-015772,20230715,95,Transportation,kg,1253.577
15773,EMS-015773,20241207,90,Purchased Energy,kg,924.288
15774,EMS-015774,20211109,87,Purchased Energy,kg,883.78
15775,EMS-015775,20210119,81,Purchased Energy,kg,748.858
15776,EMS-015776,20220919,81,Purchased Energy,kg,257.945
15777,EMS-015777,20230608,80,Direct Emissions,kg,2433.216
15778,EMS-015778,20210315,90,Purchased Energy,kg,964.169
15779,EMS-015779,20220823,69,Direct Emissions,kg,694.968
15780,EMS-015780,20191011,87,Direct Emissions,kg,1037.535
15781,EMS-015781,20200819,70,Direct Emissions,kg,301.845
15782,EMS-015782,20230810,20,Direct Emissions,kg,284.833
15783,EMS-015783,20231211,94,Transportation,kg,1884.416
15784,EMS-015784,20210212,2,Direct Emissions,kg,372.76
15785,EMS-015785,20210703,85,Purchased Energy,kg,394.183
15786,EMS-015786,20220918,26,Direct Emissions,kg,1063.432
15787,EMS-015787,20200719,28,Transportation,kg,1710.031
15788,EMS-015788,20210415,24,Purchased Energy,kg,299.716
15789,EMS-015789,20251031,30,Direct Emissions,kg,1885.047
15790,EMS-015790,20200131,76,Purchased Energy,kg,622.305
15791,EMS-015791,20191003,12,Direct Emissions,kg,822.736
15792,EMS-015792,20250115,86,Direct Emissions,kg,1259.986
15793,EMS-015793,20210324,6,Purchased Energy,kg,1252.241
